gram,counts
covid 19,147558
hope hicks,12039
tested positive,5025
hicks tests,4051
professional mask,3739
virus defeated,3690
recommends professional,3627
purchase channel,3625
channel hoping,3572
white house,3450
google searches,3233
searches ushoparea,3219
comfortable wear,3167
defeated comfortable,3166
new cases,2887
top aide,1919
public health,1632
first lady,1609
misinformation trump,1434
hicks tested,1175
united states,1132
death toll,1057
active cases,1040
second wave,993
mental health,954
24 hours,911
air force,876
hicks one,870
aged care,802
confirmed cases,787
vaccine trial,774
force one,770
health care,756
nursing homes,756
boris johnson,754
first time,754
nursing home,722
new deaths,711
