gram,counts
covid 19,153489
tested positive,5335
herd immunity,4803
new cases,3445
white house,2989
barron trump,2309
public health,2246
second wave,2038
first lady,1753
mental health,1412
united states,1219
macron announces,1103
24 hours,1058
french cities,1046
nightly curfew,1021
boris johnson,1019
announces nightly,1015
active cases,985
death toll,968
major french,963
tested negative,961
northern ireland,961
barron tested,903
sell off,902
health care,792
confirmed cases,754
new deaths,736
football coach,718
health officials,713
testing positive,709
blood type,709
reports trump,700
fake news,663
stop mitch,652
