gram,counts
covid 19,145338
boris johnson,3452
tested positive,2125
new cases,2047
one isolated,1625
public health,1493
death toll,1071
vaccine rollout,1027
stay home,1017
last year,1011
south africa,938
health care,924
vaccine distribution,906
fuatoktay tcbestepe,860
united states,859
virus therefore,812
isolated specimen,811
therefore one,811
white house,804
get vaccine,735
first dose,732
mental health,693
24 hours,692
vaccine doses,684
health officials,657
testing positive,650
active cases,580
care workers,546
