gram,counts
covid 19,116011
new cases,1982
public health,1247
south africa,954
nursing home,834
vaccine doses,804
vaccine rollout,801
last year,790
purn prof,714
prof tito,712
conspiracy theory,692
mental health,671
tested positive,657
long term,648
vaccine appointments,635
active cases,634
blamed china,629
pandemic beijing,629
united states,628
conservatives blamed,628
went offensive,628
offensive unleashing,628
unleashing massive,628
campaign shift,628
anything inline,628
theory discrediting,628
february 16,600
south african,588
24 hours,554
health care,553
town hall,531
