gram,counts
covid 19,213681
new cases,4856
second wave,4038
death toll,2753
public health,2521
mass lockdowns,2257
tucker carlson,2252
tested positive,2191
new normal,2189
lockdowns proof,2167
carlson lied,2161
wash hands,2159
united states,1961
confirmed cases,1714
stay home,1664
24 hours,1616
face masks,1426
active cases,1325
white house,1272
mental health,1271
colored population,1263
cases rise,1220
new deaths,1214
health care,1187
cashless society,1084
total number,1065
long term,1063
2nd wave,1042
nursing homes,1033
wear masks,1020
first time,998
around world,990
proof foxnews,952
mark beast,928
boris johnson,922
microchip mark,902
fake news,901
face mask,888
