gram,counts
covid 19,96750
new cases,2001
new strain,1496
cases new,1066
united states,982
tested positive,978
first case,865
public health,807
new year,800
christmas day,769
stay home,689
pillows etc,663
selling cute,662
related facemasks,662
facemasks well,662
stickers pillows,662
allergic reaction,635
30 seconds,632
two cases,623
health care,600
case new,599
active cases,596
death toll,591
health officials,570
phone cases,562
mugs phone,561
cases stickers,561
research 99,554
confirmed cases,551
merch tshirts,550
tshirts mugs,550
reaction moderna,546
24 hours,533
first cases,524
white house,524
loved ones,489
around world,481
new deaths,479
herd immunity,462
long term,455
top story,452
second wave,439
