gram,counts
covid 19,117170
new cases,1847
blood clots,1563
stay positive,1470
astrazeneca vaccine,1469
one year,1369
public health,1201
last year,1089
tested positive,839
vaccine rollout,725
amp world,709
mouth day,692
sprays mouth,691
know cure,691
share matter,689
vaccine doses,688
world government,688
truth know,686
government hiding,685
white house,674
active cases,673
long term,599
24 hours,546
mental health,545
united states,535
first dose,520
facebook label,516
third wave,502
get vaccine,484
vaccine despite,477
health care,474
new deaths,466
