gram,counts
covid 19,104245
white house,2724
new cases,2013
vaccine us,1844
trucks carrying,1782
first trucks,1720
pfizer facility,1453
charley pride,1440
united states,1342
tested positive,1340
get vaccine,1193
public health,989
health care,987
death toll,884
country music,834
vaccine shipments,820
house staff,763
healthcare workers,746
wear masks,694
vaccine rollout,693
pfizer vaccine,655
active cases,626
vaccine first,620
care workers,610
among first,605
selling cute,600
related facemasks,600
facemasks well,600
merch tshirts,600
tshirts mugs,600
stickers pillows,600
pillows etc,600
stay home,590
24 hours,575
herd immunity,561
first doses,556
phone cases,556
mugs phone,555
cases stickers,555
new deaths,538
recovery rate,531
around world,526
first shipments,511
lockdown christmas,509
take vaccine,500
wearamask washyourhands,493
trucks first,477
first shipment,476
shipments begin,473
vaccine distribution,455
washyourhands maskon,451
second wave,449
right try,438
alive right,436
oil eaten,433
