gram,counts
covid 19,58284
june6coup whatshappeninginmyanmar,2698
cvs near,1611
new cases,1318
vaccine doses,750
death toll,717
please help,667
24 hours,652
last year,633
fully vaccinated,523
longhaulers financially,490
financially stimulus,489
active cases,435
public health,425
united states,420
boris johnson,400
california county,394
tested positive,377
second wave,376
leak theory,346
first dose,341
mental health,338
positivity rate,324
confirmed cases,307
lead charge,302
county cuts,302
india pledge,294
charge curbing,291
clearly caused,291
pledge youngwarrior,277
backtracking claims,254
deaths clearly,250
railminindia mohfw_india,246
new deaths,244
finding deaths,244
india reports,241
