gram,counts
trying times share,4249
italy trying times,4229
stand italy trying,4228
times share support,4223
italian friends colleagues,4196
true href rel,1913
rel nofollow twitter,1703
help stop spread,1322
things help stop,1222
five things help,1208
nofollow twitter web,980
twitter web app,845
mass testing ph,729
testing ph demand,710
weinstein tests positive,664
government sign petitio,657
nofollow twitter android,584
janta curfew pledge,552
committed towards keeping,548
curfew pledge committed,547
pledge committed towards,547
towards keeping th,543
petition via change,512
senator test positive,453
please stay home,385
stay home stay,355
rand paul tested,335
paul tested positive,329
month every american,326
rand paul becomes,320
health care workers,320
stay at home,315
pandemic sign petition,300
senator rand paul,300
new york city,296
paul becomes first,296
suspend constitutional rights,293
return intervention prevent,291
point return intervention,291
uk government pay,284
pay self employed,278
self employed 80,276
employed 80 median,273
home stay safe,273
government pay self,271
world health organization,265
wants suspend constitutional,258
death toll rises,229
