gram,counts
covid 19,109016
whatshappeninginmyanmar may12coup,4534
may12coup crimesagainsthumanity,3071
military coup,3069
crimesagainsthumanity hearthevoiceofmyanmar,3063
alot whatshappeninginmyanmar,3060
suffered alot,3060
new cases,1539
heart attack,1385
thugs hand,1347
due heart,1345
went collect,1345
collect body,1345
arrested may9,1344
lied cremated,1344
farming he,1342
age56 arrested,1340
public health,1194
24 hours,1004
second wave,923
fee free,910
international nurses,884
vaccine appointment,824
fully vaccinated,823
last year,822
death toll,700
around world,698
boris johnson,681
mental health,665
vaccine kids,658
tested positive,636
active cases,621
first dose,595
