gram,counts
true href rel,3634
rel nofollow twitter,3143
nofollow twitter web,2179
twitter web app,1864
new york times,1122
world health organization,801
intelligence report warned,767
nofollow twitter android,761
crisis early november,758
petition via ukchange,750
health care workers,681
new york city,676
thank govt staff,667
govt staff indianeedpsus,665
staff indianeedpsus psusbackboneofindia,659
early november sources,657
we thank govt,598
stay at home,590
say feds seizing,499
hospitals say feds,495
supplies without word,481
sources abc news,473
stay home stay,472
november sources abc,472
abc news via,441
news via abc,420
trump white house,417
home stay safe,416
night intensive care,382
second night intensive,362
slow sound alarm,342
johnson listened scientists,339
download share using,325
please download share,325
share using link,324
bbc news mundo,317
twitter web client,315
setu app fight,309
pandemic peak nears,307
