gram,counts
covid 19,94175
june15coup whatshappeninginmyanmar,6326
health care,3449
plan health,3105
need leaders,3101
military dictatorship,2486
raining season,2483
season amp,2483
overthrow military,2482
protest overthrow,2481
whatshappeninginmyanmar jun15coup,1817
whatshappeninginmyanmar june16coup,1722
virus whatshappeninginmyanmar,1668
new cases,1246
death toll,1233
last year,1165
fully vaccinated,874
public health,771
2021 vaccine,695
min age,688
vaccine vaccinepune,688
vaccinepune cowin,688
vaccine doses,674
24 hours,646
active cases,570
