gram,counts
covid 19,205438
white house,21626
tested positive,7640
new cases,2738
professional mask,2518
public health,2408
search ushoparea,2209
united states,2095
trump infected,1837
infectious disease,1734
coast guard,1685
mental health,1579
wash hands,1389
health care,1325
doctor professional,1315
purchasing website,1312
purchased safe,1312
fad certified,1312
certified masksgoogle,1312
ushoparea buy,1312
website purchased,1284
buy website,1284
website great,1284
first lady,1254
testing positive,1249
talks election,1248
county chair,1232
committee hosted,1230
negotiations election,1219
death rate,1214
herman cain,1208
fox news,1205
comfortable wear,1177
active cases,1172
fake news,1170
boris johnson,1137
maskless gathering,1132
national security,1114
pentagon leadership,1114
loved ones,1100
death toll,1097
