gram,counts
true href rel,4156
rel nofollow twitter,3517
nofollow twitter web,2511
twitter web app,2170
new york times,1341
files whistleblower complaint,1078
death toll rises,1014
contact tracing app,948
15 children hospitalized,862
new york city,849
now dominant strain,839
suspends laboratory head,824
death toll europe,822
scientists say now,814
appears contagious original,800
nofollow twitter android,798
laboratory head president,794
three russian doctors,729
vaccine director files,717
whistleblower complaint alleging,699
ousted vaccine director,676
towards cashless society,666
director files whistleblower,657
stay at home,621
france first known,569
illness possibly tied,562
cashless society know,555
children hospitalized mysterious,547
mysterious illness possibly,546
hospitalized mysterious illness,544
russian doctors treating,537
first known case,532
wearethenewsnow factsmatter wwg1wga,524
wwg1wga wakeupamerica unitednotdivided,524
qanon wearethenewsnow factsmatter,521
factsmatter wwg1wga wakeupamerica,521
wakeupamerica unitednotdivided saveamerica,520
case was december,519
unitednotdivided saveamerica greatawakening,517
health care workers,505
known case was,487
projects banned us,468
recently fallen windows,463
banned us 2014,456
uk death toll,428
