gram,counts
covid 19,195147
new cases,6001
tested positive,3747
public health,3514
white house,3393
wear masks,2101
boris johnson,2069
united states,1973
death toll,1833
stay home,1682
second wave,1509
health officials,1501
death rate,1455
face masks,1431
confirmed cases,1362
24 hours,1353
face mask,1293
back school,1264
motorcycle crash,1250
active cases,1199
record 77,1193
cases deaths,1156
new deaths,1141
health care,1114
vaccine research,1110
roll back,1053
herd immunity,1025
nursing homes,1014
back reopening,1007
every day,980
via gatewaypundit,952
first time,935
force report,935
mental health,930
crash listed,910
accuses beijing,888
know treat,888
treat whistleblowers,882
world truth,881
day record,878
whistleblowers telling,873
fox news,843
