gram,counts
covid 19,189871
new cases,4555
tested positive,4211
herd immunity,3418
death toll,2993
white house,2461
united states,2145
death rate,1894
public health,1873
every american,1584
stay home,1581
nursing homes,1527
month every,1503
care homes,1498
boris johnson,1462
realdonaldtrump bubbawallace,1423
broadway actor,1403
actor nick,1365
first time,1308
new normal,1275
confirmed cases,1268
bubonic plague,1256
mortality rate,1253
broadway star,1203
24 hours,1167
totally harmless,1105
time high,1066
active cases,1054
fake news,1039
face masks,975
care home,973
third worst,954
cases deaths,944
health care,940
worst hit,938
new deaths,925
cases harmless,923
via gatewaypundit,883
mental health,867
every day,831
face mask,823
