gram,counts
covid 19,61884
sep5coup whatshappeninginmyanmar,1049
new cases,1046
myanmar whatshappeninginmyanmar,998
fully vaccinated,929
tested positive,629
last year,563
24 hours,462
super bowl,455
vaccine cowinblore1844,452
public health,452
cowinblore1844 bbmp,442
active cases,412
radio hits,406
booster shots,406
stop hits,405
today totally,405
totally commercial,405
commercial free,405
free rideshare,405
hits uber,405
uber nowplaying,405
nowplaying stayathome,405
stayathome sydneylockdown,405
sydneylockdown summeroflove,405
stream non,395
hits 70s,395
70s today,395
health officials,339
healthcare workers,338
fired indiscriminate,336
shells falling,334
hospital wounding,334
falling compound,329
artillery shells,324
compound hpapun,319
booster shot,299
vaccine doses,291
united states,291
vaccine passports,288
world cup,288
bbmp covishield,287
vaccine mandates,285
health care,285
give insight,284
