gram,counts
covid 19,146250
new cases,2169
south africa,1702
manchester city,1637
tested positive,1388
wisma atlet,1384
death toll,1330
health care,1232
united states,1175
four years,1149
public health,1137
asymptomatic transmission,1068
man city,1059
stay home,1002
outbreak wuhan,935
new strain,905
herd immunity,864
new variant,818
reporting early,784
white house,742
jailed reporting,732
healthcare workers,729
finds news,705
24 hours,691
second wave,658
via gatewaypundit,656
news lifesite,649
active cases,636
new deaths,632
