gram,counts
covid 19,122090
july15coup whatshappeninginmyanmar,27476
whatshappeninginmyanmar july15coup,8791
paletwa township,3680
2021 vaccine,3475
min age,3471
vaccine vaccinepune,3471
vaccinepune cowin,3471
third wave,2913
covishield min,2853
military dictatorship,2604
protest military,2338
calling protection,2318
dictatorship calling,2317
need international,2259
control third,2226
whatshappeninginmyanmar myanmarneedso2,2177
also help,2142
every contribution,2131
contribution counts,2131
counts find,2131
organisations fight,2131
new cases,2120
myanmarneedso2 july15coup,1975
help organisations,1907
find also,1904
chin state,1859
youths tharketa,1849
reported paletwa,1840
township chin,1840
cases paletwa,1840
township whatshappeninginmyanmar,1828
2nd wave,1805
july15coup myanmarneedso2,1783
heartbreaking scene,1752
robbed medical,1747
facilities used,1747
medical tools,1713
tools amp,1713
donated public,1711
wave using,1708
july16coup whatshappeninginmyanmar,1548
fully vaccinated,1521
health information,1463
information amp,1461
group youths,1452
youths initiating,1451
disease exchange,1451
exchange health,1451
heart breaking,1259
absolutely heart,1242
deaths death,1241
comparing oxygen,1241
tested positive,1217
3rd wave,1172
