gram,counts
covid 19,93045
whatshappeninginmyanmar june4coup,4991
unintentionally making,2769
militarycoup legitimate,2767
military leaders,2764
intl supports,2764
probably unintentionally,2763
benefits whatshappeninginmyanmar,2763
supports benefits,2762
legitimate wo,2761
leaders use,2761
use intl,2761
facing brutal,2349
military dictator,2345
dictator worse,2343
military coup,1680
facing two,1671
two crisis,1671
crisis military,1665
new cases,1564
cvs near,1490
last year,999
fully vaccinated,868
public health,858
24 hours,742
vaccine doses,732
give insight,714
thanks data,697
scientists usafacts,697
active cases,649
second wave,645
anthony fauci,552
leak theory,542
june4coup whatshappeninginmyanmar,538
united states,528
please help,513
third wave,504
lesstalkmoreactionsasean whatshappeninginmyanmar,493
confirmed cases,476
tested positive,473
white house,461
first dose,460
mental health,456
least one,414
