gram,counts
covid 19,96734
june30coup whatshappeninginmyanmar,7139
2021 vaccine,3987
min age,3983
vaccine vaccinepune,3983
vaccinepune cowin,3983
covishield min,3392
health anything,2333
never think,2330
cases spike,2284
famous beach,2275
beach resort,2275
july1coup whatshappeninginmyanmar,2207
whatshappeninginmyanmar june30coup,2196
treating center,1575
center military,1573
myanmar whatshappeninginmyanmar,1572
new cases,1484
back time,1190
government managed,1179
civilians government,1178
incapable successfully,1177
successfully managing,1177
managed whatshappeninginmyanmar,1173
fully vaccinated,1085
public health,849
24 hours,846
give insight,709
scientists usafacts,700
