gram,counts
covid 19,81355
united nations,5303
military coup,5297
thailand may,5289
nations office,5288
office protest,5285
protest military,5285
arrives united,5283
tun whatshappeninginmyanmar,5253
may2coup whatshappeninginmyanmar,4245
spring revolution,4140
whatshappeninginmyanmar springrevolution,4087
revolution may2coup,4075
new cases,1484
cvs near,1400
vaccine appointment,862
second wave,858
24 hours,834
public health,824
last year,690
fully vaccinated,674
blood type,626
please help,619
death toll,612
active cases,582
every american,562
officeofut mumbaipolice,554
month every,543
2primary number,533
stay home,521
type positiveat,455
tested positive,435
lockdown order,431
violating lockdown,415
legal action,414
business operations,412
first dose,408
new record,402
amp business,401
fight prompt,395
action must,394
