gram,counts
covid 19,65592
new cases,1154
third wave,1110
2021 vaccine,854
min age,852
vaccine vaccinepune,852
vaccinepune cowin,852
fully vaccinated,819
covishield min,671
24 hours,581
death toll,544
active cases,515
capacity dates,490
public health,480
fake news,436
last year,426
passed away,379
united states,367
vaccine doses,364
tested positive,359
cole beasley,356
please help,334
aiims chief,330
first dose,315
vaccination cowin,302
cowin india,301
vaccine covishieldin,295
fee free,281
half million,275
confirmed cases,264
positivity rate,263
