gram,counts
covid 19,177078
new cases,4298
death toll,2667
tested positive,2333
public health,2077
united states,1502
stay home,1482
confirmed cases,1311
face masks,1232
mental health,1187
active cases,1183
24 hours,1112
back school,1102
white house,1084
florida sheriff,1054
long term,1052
first time,993
new deaths,991
death rate,906
world first,897
college football,894
high school,893
health care,831
whitehouse realdonaldtrump,814
every day,779
home stay,762
face mask,755
interesting watch,706
around world,701
nursing homes,699
gun infectious,687
cases deaths,675
