gram,counts
covid 19,107457
charley pride,5892
country music,4145
legend charley,2704
emergency use,2210
new cases,2182
click link,1529
vaccine emergency,1528
tested positive,1466
live football,1421
football match,1421
match check,1421
effects _________,1421
united states,1328
public health,1114
white house,993
pfizer vaccine,940
first black,897
states monday,844
24 hours,823
use authorization,818
death toll,817
fda authorizes,766
health care,758
arriving states,679
complications 86,669
emergency distribution,665
active cases,638
vaccine distribution,630
stay home,621
music first,581
new deaths,575
south korea,560
recovery rate,532
rip charley,475
nintendoswitch xbox,450
monday morning,448
loved ones,447
authorizes pfizer,440
second wave,438
confirmed cases,432
need know,431
healthcare workers,425
vaccine start,416
around world,415
99 recovery,414
every day,411
get vaccine,405
