gram,counts
covid 19,98271
aug31coup whatshappeninginmyanmar,1731
fully vaccinated,1696
new cases,1660
whatshappeninginmyanmar asean_standfordemocracy,1163
asean_standfordemocracy crimesagainsthumanity,1143
whatshappeninginmyanmar aug31coup,1032
whatshappeninginmyanmar internetshutdown,976
public health,942
give insight,721
recent deaths,717
creating artificial,710
scientists usafacts,704
south africa,660
aug31coup asean_standfordemocracy,655
last year,641
24 hours,624
asean_standfordemocracy aug31coup,618
news agency,608
patients abducted,599
new deaths,582
abducted sac,578
agency helping,574
29 whatshappeninginmyanmar,572
sac terroristsin,567
active cases,527
booster shots,518
third wave,512
united states,500
tested positive,499
health care,484
vaccine doses,457
