gram,counts
covid 19,47883
new cases,1031
fully vaccinated,883
wesupportnug oct9coup,781
weapons wesupportnug,653
mental health,600
public health,443
stream here,412
stop hits,412
radio hits,412
hits uber,412
uber nowplaying,412
nowplaying stayathome,412
stayathome sydneylockdown,412
hits 70s,401
70s today,401
death toll,366
24 hours,353
vaccine mandate,343
united states,335
active cases,318
russians flock,312
ivermectin treatment,309
last year,282
via gatewaypundit,282
vaccines paid,278
herd immunity,277
government authorizes,270
tested positive,269
authorizes ivermectin,269
vaccine doses,252
new deaths,248
