gram,counts
covid 19,79863
sep28coup whatshappeninginmyanmar,2867
chevron_stopsponsoringsac sep28coup,1895
fully vaccinated,1568
new cases,1510
whatshappeninginmyanmar sep28coup,1065
public health,972
frequent clashes,930
near hopit,930
refugee camps,930
military terrorists,926
terrorists near,926
booster shot,837
health care,794
booster shots,720
vaccine mandate,681
takeaction_nomorewords humanrightsviolations,662
making inferior,659
inferior acts,659
acts prosecuting,658
prosecuting imprisoning,658
laws takeaction_nomorewords,658
releasethedetainees chevron_stopsponsoringsac,657
humanrightsviolations releasethedetainees,656
tested positive,618
vaccine mandates,615
give insight,585
scientists usafacts,583
freethewholestoro ruto,553
girlswhocode ronaldo,553
vaccine children,511
24 hours,488
active cases,466
michigan couple,463
vaccinated michigan,439
last year,437
healthcare workers,435
tob cohen,422
vaccine booster,419
