gram,counts
covid 19,76699
new cases,1712
united states,1125
vaccine appointments,1000
loved ones,731
public health,662
pfizer vaccine,575
vaccine passports,557
death toll,539
please sign,527
24 hours,526
boris johnson,524
tested positive,515
active cases,509
first time,503
sign share,483
states national,474
south africa,471
ones numbers,466
victims please,466
last year,463
nursing home,455
new deaths,444
february 14,410
three day,406
takedowntheccp 爆料革命,398
mental health,397
vaccine rollout,386
doses vaccine,386
interview tedcruz,367
february 2021,364
