gram,counts
covid 19,77459
freethewholestoro ruto,1830
fully vaccinated,1737
facingmtkenya freethewholestoro,1456
new cases,1371
python programming,1255
public health,1112
tested positive,1024
girlswhocode ronaldo,952
united airlines,931
sep29coup whatshappeninginmyanmar,887
rkelly championsleague,879
championsleague girls,878
last year,872
health care,743
vaccine cowinblore1844,683
cowinblore1844 bbmp,673
vaccine mandate,634
tob cohen,629
cohen pytorch,629
virus stoplynching_muslims,590
vaccine mandates,587
python ipps,575
restricted almost,562
almost months,557
months outbreak,555
rkelly champions,539
league girlswhocode,539
24 hours,509
booster shot,492
active cases,461
least one,455
oct 2021fees,445
sep30coup whatshappeninginmyanmar,412
would spread,408
