gram,counts
covid 19,149254
tested positive,2498
new cases,2352
public health,1797
vaccine rollout,1295
stay home,1273
south africa,964
boris johnson,918
watson coleman,894
health care,869
last year,847
second wave,809
drtedros unhumanrights,800
death toll,776
herd immunity,721
face masks,720
long term,718
vaccine distribution,706
active cases,691
24 hours,690
healthcare workers,651
united states,640
get vaccine,616
community transmission,604
nursing home,595
mental health,590
new variant,584
vaccine doses,581
refused wear,563
confirmed cases,554
health officials,553
massive community,535
first dose,534
