gram,counts
covid 19,156742
white house,12334
tested positive,11574
testing positive,3393
first lady,3373
kellyanne conway,2568
new cases,2473
professional mask,2261
trump first,2202
amy coney,1965
wear masks,1862
google search,1805
search ushoparea,1764
united states,1763
speedy recovery,1756
public health,1559
fox news,1543
virus defeated,1519
channel hoping,1515
lady tested,1496
hope hicks,1455
comfortable wear,1403
wash hands,1389
recommend professional,1387
24 hours,1358
death toll,1335
boris johnson,1195
chris wallace,1180
tested negative,1109
48 hours,1068
military hospital,1064
reed hospital,996
trump white,993
trump knew,976
infections deaths,974
recommends professional,955
purchase channel,955
deaths rise,950
team recommends,941
defeated stay,941
away viruses,937
mask purchase,873
health care,873
