gram,counts
covid 19,86443
july18coup whatshappeninginmyanmar,16157
whatshappeninginmyanmar july18coup,12917
military dictatorship,6002
july18coup milkteaalliance,4674
overthrow military,3509
2021 vaccine,3168
min age,3165
vaccine vaccinepune,3165
vaccinepune cowin,3165
july18coup myanmarneedso2,3142
medical treatment,3113
whatshappeninginmyanmar myanmarneedso2,2665
covishield min,2606
forcibly closing,2200
closing hospitals,2200
receiving medical,2200
treatment whatshappeninginmyanmar,2190
myanmarneedso2 whatshappeninginmyanmar,1826
must succeed,1819
protest saying,1815
saying overthrow,1815
succeed july18coup,1815
together we,1814
july18 youths,1812
boris johnson,1784
outbreak july18coup,1779
oxygen july18coup,1739
weapons whatshappeninginmyanmar,1707
youths revolt,1630
dictatorship also,1630
help international,1584
cash oxygen,1573
even cremation,1573
increasing day,1572
line cash,1571
urgently needs,1570
crisis increasing,1566
rising cases,1550
revolutionary slogans,1538
lonekhin tract,1535
chanting revolutionary,1511
dictatorship chanting,1508
locals lonekhin,1507
tsp protested,1507
fully vaccinated,1502
tested positive,1499
epidemic whatshappeninginmyanmar,1439
also defeat,1417
youths overthrow,1416
olympic village,1403
new cases,1362
whatshappeninginmyanmar milkteaalliance,1357
whatshappeninginmyanmar myanmarneeds02,1348
successful whatshappeninginmyanmar,1339
death toll,1312
weapon suppress,1250
suppress nationwide,1250
needs humanitarian,1236
aids world,1233
whatshappeninginmyanmarmyanmar needs,1231
july18coup whatshappeninginmyanmarmyanmar,1230
releaseourleaders releasealldetainees,1157
releasealldetainees whatshappeninginmyanmar,1156
july18coup crimesagainsthumanity,1155
amp free,1140
coup immediately,1138
leaders whatshappeninginmyanmar,1138
immediately arrest,1136
free leaders,1134
