gram,counts
covid 19,97896
fully vaccinated,5011
wearing mask,2023
new cases,1568
cvs near,1550
public health,1334
second wave,889
mask wearing,878
last year,851
still wearing,806
24 hours,800
tested positive,766
first dose,709
mental health,695
get vaccine,673
without masks,667
still wear,646
stay home,593
go without,591
stop wearing,560
boris johnson,553
fee free,551
pfizer vaccine,541
around world,540
need wear,531
vaccine appointment,518
active cases,512
vaccine doses,482
death toll,473
united states,440
