gram,counts
covid 19,131101
new cases,1905
public health,1548
tested positive,1264
february 2021,995
super bowl,975
last year,969
astrazeneca vaccine,907
vaccine doses,886
mental health,857
health care,794
south africa,732
first dose,634
vaccine rollout,631
active cases,631
boris johnson,631
united states,614
vaccine may,585
new variants,583
24 hours,578
south african,578
health officials,569
stay home,551
death toll,547
white house,546
vaccine distribution,526
give insight,513
herd immunity,513
scientists usafacts,510
new deaths,498
confirmed cases,493
around world,492
captain tom,468
mechanism force,463
