gram,counts
covid 19,80714
merry christmas,3414
christmas day,1726
new cases,1386
tested positive,1232
new year,859
south africa,713
united states,684
new variant,680
manchester city,667
first case,664
new strain,644
loved ones,641
christmas eve,602
active cases,599
nintendoswitch xbox,592
herd immunity,570
24 hours,538
christmas message,528
public health,499
xboxseriesx ps5restock,494
around world,461
stay home,452
health care,440
death toll,420
holiday season,418
hospital staff,407
crown prince,402
ps5gamers blackfriday,392
first time,364
new deaths,362
accusing hospital,361
weeks accusing,345
staff racist,344
