gram,counts
covid 19,204127
new cases,5153
white house,2810
tested positive,2628
public health,2612
united states,2166
death toll,1867
whitehouse realdonaldtrump,1641
24 hours,1623
herd immunity,1589
confirmed cases,1398
stay home,1374
nursing homes,1336
active cases,1312
new deaths,1297
face masks,1285
accuses beijing,1242
know treat,1230
spread truth,1224
treat whistleblowers,1223
first time,1221
world truth,1219
whistleblowers telling,1215
face mask,1156
death rate,1104
chinese hackers,1067
health care,1039
nursing home,1032
mental health,1008
need know,973
vaccine doses,935
back school,929
around world,896
