gram,counts
covid 19,102123
new cases,1814
fully vaccinated,1545
posts related,1070
outright removal,1070
instituted tiers,1068
vaccines categorized,1063
range outright,1062
facebook instituted,1057
public health,970
24 hours,795
last year,794
iman troye,727
tested positive,703
vaccine doses,690
active cases,659
william shakespeare,604
united states,574
stay home,528
first dose,519
second wave,510
mental health,503
shot works,465
positivity rate,459
vaccine safe,437
death toll,422
heroes help_for_donation,422
help_for_donation please_help_emergency_appeal,422
new deaths,402
strongly protects,399
