gram,counts
covid 19,157492
new cases,3446
public health,1876
vaccine trial,1875
tested positive,1857
united states,1600
second wave,1317
white house,1265
fake news,1174
24 hours,1081
active cases,1061
health care,1044
mental health,1026
approves gilead,961
death toll,945
herd immunity,918
manufactured spread,868
spread intentionally,868
intentionally chinese,868
first time,806
palliatives meant,792
free vaccine,790
nursing homes,775
new deaths,750
confirmed cases,708
mask wearing,688
recovery rate,630
stay home,629
nursing home,622
boris johnson,622
loved ones,617
health officials,617
around world,612
