gram,counts
covid 19,199609
new cases,4967
white house,3314
tested positive,2645
public health,2593
united states,2043
death toll,1774
face masks,1757
accuses beijing,1526
know treat,1525
treat whistleblowers,1522
world truth,1521
spread truth,1518
whistleblowers telling,1518
24 hours,1505
south africa,1438
confirmed cases,1423
herd immunity,1411
stay home,1365
new deaths,1342
active cases,1323
back school,1299
nursing homes,1281
health care,1278
face mask,1275
mental health,1137
first time,1126
death rate,1028
boris johnson,1012
around world,985
face coverings,982
cases deaths,979
one day,978
total number,891
