gram,counts
covid 19,171663
macron tests,3666
new cases,3174
tested positive,3097
health care,2067
public health,1789
stay home,1606
northern beaches,1415
emergency use,1370
death toll,1176
united states,1159
macron tested,976
healthcare workers,942
care workers,934
white house,909
second wave,884
allergic reaction,861
24 hours,853
get vaccine,833
cases deaths,822
pfizer vaccine,787
facemasks well,774
stickers pillows,773
pillows etc,773
health officials,772
related facemasks,772
active cases,767
new deaths,754
advisory panel,717
mental health,716
merch tshirts,703
tshirts mugs,703
vaccine via,687
vaccine rollout,681
thank god,656
