gram,counts
covid 19,114422
white house,3424
new cases,3318
700 deaths,2258
boris johnson,1714
reclose schools,1688
due increase,1683
tested positive,1589
prince william,1407
first time,1400
public health,1318
whole lot,1262
united states,1185
second wave,1084
offers blunt,1045
surge offers,1043
scott atlas,965
death toll,938
cases first,913
active cases,878
confirmed cases,832
herd immunity,832
stay home,819
mental health,792
five months,777
death rate,770
approach days,759
unleashes white,750
deaths per,721
new deaths,718
health care,699
cases deaths,679
infections 700,675
long term,668
loved ones,641
prof dr,637
cases related,630
national lockdown,624
cases stanford,614
