gram,counts
covid 19,90401
fully vaccinated,3402
cvs near,1757
fee free,1620
new cases,1349
vaccine appointment,1319
2021 fee,1183
public health,1143
cowinnotifier westbengal,877
wear masks,838
24 hours,834
tested positive,818
last year,788
second wave,680
boris johnson,665
mask wearing,622
right live,526
stay home,523
first dose,507
mental health,494
united states,477
active cases,476
around world,473
please help,442
2021 age,440
vaccination cowin,439
health care,435
get vaccine,434
vaccine doses,429
cowin india,426
death toll,415
