gram,counts
true href rel,4447
rel nofollow twitter,3781
nofollow twitter web,2700
twitter web app,2268
stay at home,1137
new york times,968
nofollow twitter android,867
subscribers payment break,768
give subscribers payment,767
new york city,682
beaches state parks,649
manmade genetically modified,549
health care workers,494
close california beaches,468
first time since,460
stay home order,447
great success story,447
california beaches state,440
twitter web client,435
world health organization,434
every trump supporter,425
originated chinese lab,424
coverage daily updates,410
newsom close california,410
china wants lose,402
shelter in place,401
wants lose re,401
wuhan lab compares,401
breaking funeral directors,398
us intel community,384
south korea reports,382
medical examiners releasing,380
