gram,counts
true href rel,3853
rel nofollow twitter,3341
copy officials last,3279
deliver copy officials,3279
officials last delivered,3279
signing support usps,3278
world health organization,3133
nofollow twitter web,2352
twitter web app,1982
funding world health,1604
common women leaders,1512
setu app fight,1346
please download share,1256
download share using,1254
share using link,1250
recommend aarogya setu,1244
using link android,1161
new york times,1159
responses common women,1111
stay at home,968
new york city,930
health care workers,851
nofollow twitter android,798
lockdown extended till,603
trump halts funding,576
trump announces halt,572
halt funding world,550
long term care,545
health organization funding,526
world poorest countries,502
claims total authority,499
stay home stay,494
announces halt funding,483
halts world health,481
home stay safe,476
stay home one,474
