gram,counts
covid 19,547963
july11coup whatshappeninginmyanmar,289489
myanmarneedso2 july11coup,286342
whatshappeninginmyanmar july11coup,133766
july11coup myanmarneedso2,109822
military dictatorship,77452
myanmarneedso2 whatshappeninginmyanmar,64257
whatshappeninginmyanmar myanmarneedso2,38325
protest military,23862
please help,18796
usembassyburma asean,18474
antonioguterres myanmarneedso2,18423
international helps,18422
ask international,18419
dictatorship need,16171
military coup,11704
dictatorship today,11505
launglon township,9891
protesting military,9183
third wave,8431
revolutionary slogans,8117
milkteaalliance whatshappeninginmyanmar,7781
military council,7672
overthrow military,7195
dictatorship residents,7178
tight security,6782
marched motorbikes,6390
dictator overthrow,6374
oxygen factories,6179
motorcycle march,5874
staged protest,5827
morning need,5507
township afternoon,5467
coup leaders,5375
candlelight night,5332
protested military,5195
yebyu township,5087
longlone tsp,5035
morning flowers,4865
flowers hands,4863
march morning,4861
military rules,4844
staged anti,4545
young activists,4505
early morning,4490
nothing stop,4471
overthrow genocidal,4470
thayetchaung tsp,4461
justice freedom,4453
freedom revolution,4453
overthrow dictator,4385
revolutionary youths,4383
township staged,4350
scorching sun,4322
marched streets,4317
protested dictator,4313
sun shines,4299
shines we,4290
really happening,4204
myanmarneeds02 whatshappeninginmyanmar,4202
crisis we,4191
face military,4190
diseases crisis,4186
military diseases,4184
dictatorship afternoon,4151
dictatorship early,4111
protest rally,4007
healthcare system,3985
video footage,3948
july abducted,3946
going collapse,3939
reason need,3937
region healthcare,3935
protest dictatorship,3844
dictatorship staged,3814
security forces,3771
july11coup milkteaalliance,3763
