gram,counts
covid 19,126968
new cases,4976
tested positive,1734
first time,1573
public health,1504
united states,1282
stay home,1044
24 hours,1026
active cases,981
cases single,911
second wave,872
mental health,841
death toll,786
new deaths,781
new record,778
confirmed cases,691
boris johnson,691
furlough scheme,660
wash hands,645
white house,607
health care,600
recovery rate,568
positivity rate,554
around world,552
health officials,525
national lockdown,520
new normal,504
record new,502
new death,498
mask wearing,498
in ballots,493
