gram,counts
covid 19,154497
trump knew,5275
vaccine trial,4781
new cases,3307
trumpknew trumpknew,3134
true threat,2551
concealing true,2454
admits concealing,2431
public health,2179
new york,1858
white house,1800
tested positive,1715
united states,1600
play trump,1436
wanted play,1339
intentionally misleading,1285
put hold,1271
social gatherings,1238
vaccine trials,1235
misleading americans,1225
motorcycle rally,1223
adverse reaction,1208
always play,1205
gatherings six,1199
death toll,1197
boris johnson,1178
washington post,1137
deadly worse,1135
flu intentionally,1106
fake news,1097
oxford university,1074
new book,1046
vaccine study,1041
sturgis motorcycle,1041
active cases,1041
told bob,994
lied american,982
24 hours,969
knew february,968
wear masks,965
mental health,934
long term,931
fox news,919
confirmed cases,917
deadly even,891
thearieair tjhinfar21,842
even though,835
1trenggalek thearieair,835
nursing homes,828
second wave,810
