gram,counts
covid 19,77161
new cases,1545
patients learning,832
learning difficulties,771
public health,741
orders imposed,679
nursing home,661
china refused,656
last year,583
nursing homes,549
toryboypierce keir_starmer,547
death toll,540
tested positive,522
24 hours,522
first time,493
united states,463
active cases,451
stayhome staysafe,447
oxford university,431
south africa,413
white house,409
mental health,402
new deaths,395
vaccine appointments,378
february 13,371
vaccine doses,355
boris johnson,353
vaccine rollout,348
stay home,347
confirmed cases,340
around world,335
