gram,counts
covid 19,113065
us breathe,27960
july26coup whatshappeninginmyanmar,25292
breathe stopsacfromrobbingo2,24301
stopsacfromrobbingo2 july26coup,22389
whatshappeninginmyanmar july26coup,4274
2021 vaccine,3534
min age,3530
vaccine vaccinepune,3530
vaccinepune cowin,3530
imfnews worldbank,3362
chin state,3266
vicinity donated,3265
donated products,3264
villages vicinity,3261
ugandaisbleeding accountability,3182
covishield min,3068
need accountability,2950
health care,2439
stopsacfromrobbingo2 whatshappeninginmyanmar,2409
govuk antonioguterres,2124
military dictatorship,2121
amp world,2114
others stop,2101
stop confusing,2100
accountability kgeorgieva,2100
unicef others,2098
lockdown due,2021
state currently,2011
currently lockdown,2010
july26coup stopsacfromrobbingo2,1973
new cases,1834
fully vaccinated,1762
breathe whatshappeninginmyanmar,1755
stay home,1727
care workers,1724
whatshappeninginmyanmar julu26coup,1686
public health,1531
facing food,1526
reject military,1499
dictatorship we,1499
feb coup,1498
coup we,1498
young activists,1484
families stay,1481
donated rice,1480
food suplies,1479
rice food,1478
neighborhoods prevention,1478
jupy26coup whatshappeninginmyanmar,1478
stipsacfromrobbingo2 jupy26coup,1473
breathe stipsacfromrobbingo2,1472
need humanitarian,1390
food shortages,1389
shortages need,1380
