gram,counts
covid 19,183270
tested positive,4115
new cases,3905
facebook twitter,2357
public health,2135
death toll,1956
united states,1771
white house,1524
health care,1249
active cases,1225
24 hours,1175
mental health,1147
back school,1146
long term,1078
new deaths,1066
first time,1026
safety concerns,1025
confirmed cases,1011
face masks,996
ahead trump,990
testing positive,965
nursing homes,934
wear masks,921
stay home,876
second wave,825
removes trump,809
fake news,794
twitter facebook,783
relief therapeutics,783
health officials,771
via gatewaypundit,770
