gram,counts
covid 19,72335
whatshappeninginmyanmar june26coup,5805
june26coup whatshappeninginmyanmar,5290
2021 vaccine,3166
min age,3164
vaccine vaccinepune,3164
vaccinepune cowin,3164
public health,3065
covishield min,2755
health care,2657
human rights,2559
health impacts,2484
devastating public,2481
plan health,2479
unlawful abduction,2411
rights day,2408
genocidalmilitary releasethedetainees,2407
day whatshappeninginmyanmar,2404
abduction losing,2403
freebritney gobolts,1444
pmcpvaccines covishield,1420
mytwitteranniversary newprofilepic,1391
new cases,1345
fully vaccinated,1279
fast9 freebritney,1279
body without,1057
without informing,1053
informing family,1041
youtube art,997
military terrorists,914
24 hours,857
terrorists abducted,736
abducted salai,717
photo amp,705
claimed died,698
amp father,695
father june,695
capacity dates,640
pharma tech,591
pirbright institute,589
tech propaganda,589
history pirbright,588
tested positive,587
health secretary,579
college world,541
abducted together,536
together father,535
health minister,524
