gram,counts
covid 19,235971
new cases,5703
death toll,5181
nursing homes,4549
public health,2725
thearieair tjhinfar21,2657
divhumas_polri thearieair,2652
new normal,2543
boris johnson,2353
tested positive,2271
united states,2202
confirmed cases,2109
stay home,2030
death rate,1906
mental health,1865
health care,1847
long term,1696
nursing home,1688
second wave,1687
new deaths,1604
fake news,1600
antibody tests,1442
cashless society,1440
south korea,1355
24 hours,1343
active cases,1309
rfid microchip,1183
microchip mark,1159
face masks,1120
health workers,1120
around world,1112
white house,1093
read article,1051
first time,1042
total number,1025
need know,1021
fox news,999
