gram,counts
covid 19,147429
new cases,2860
public health,2031
stay home,1595
tested positive,1584
vaccine distribution,1472
long term,1374
themandalorian mulan,1297
united states,1265
health care,1212
death toll,1075
at home,1036
bbtvi2020 followtrick,905
health officials,861
active cases,807
mental health,791
around world,766
white house,748
24 hours,746
every day,725
bush clinton,700
supply chain,699
new deaths,699
south africa,686
followtrick follotrick,670
healthcare workers,668
fox news,659
nct2020 afasenda12,658
get vaccine,657
cases deaths,640
face masks,606
