gram,counts
covid 19,106471
whatshappeninginmyanmar aug2coup,5395
aug2coup whatshappeninginmyanmar,3889
2021 vaccine,3260
min age,3253
vaccine vaccinepune,3253
vaccinepune cowin,3253
fully vaccinated,2750
covishield min,2696
tested positive,1845
new cases,1840
third wave,1379
forces tighten,1183
tighten security,1183
security took,1183
streets exterminate,1183
today recognizenug,1180
military regime,1169
intentionally removing,1168
removing last,1167
life help,1160
public health,1129
dictator knew,1100
spreading purpose,1099
terrorists whatshappeninginmyanmar,1037
also help,995
contribution counts,981
organisations fight,981
counts find,980
every contribution,979
find also,960
help organisations,959
vaccine doses,918
aug3coup whatshappeninginmyanmar,900
white house,860
ourgovernmentnug aug3coup,843
united states,841
aseanrejectsac aseansupportnug,814
whatshappeninginmyanmar aseanrejectsac,809
death toll,753
accessed sac,748
telenor_m1ispartnerofsac whatshappeninginmyanmar,748
last year,701
international community,670
citizens whatshappeninginmyanmar,668
24 hours,662
whatshappeninginmyanmar aug3coup,649
community asean,645
rapporteurun whatshappeninginmyanmar,643
breaks record,641
