gram,counts
covid 19,97154
2021 vaccine,3953
min age,3952
vaccine vaccinepune,3952
vaccinepune cowin,3952
covishield min,3412
new cases,1935
fully vaccinated,1903
helpmyanmar_recognizenug aug20coup,1315
public health,1176
please help,961
conditions worryingpolitical,941
abductess barely,941
treatment helpmyanmar_recognizenug,941
worryingpolitical abductess,940
tested positive,929
help support,899
support wear,880
aug20coup whatshappeninginmyanmar,774
give insight,716
thanks data,700
scientists usafacts,700
24 hours,641
last year,631
hospitalvaccines covishield,594
whatshappeninginmyanmar aug20coup,586
emergency use,565
get vaccine,541
united states,540
long term,535
aug20coup helpmyanmar_recognizenug,518
booster shot,512
health care,510
leader fought,498
health officials,494
active cases,492
vaccine dies,477
fought vaccine,473
stay home,464
