gram,counts
covid 19,99049
june29coup whatshappeninginmyanmar,10095
record breaking,7949
whatshappeninginmyanmar june29coup,3845
public health,3770
min age,3719
2021 vaccine,3719
vaccine vaccinepune,3719
vaccinepune cowin,3719
covishield min,3264
health care,3008
health impacts,2715
plan health,2710
devastating public,2707
impacts myanmar,2705
breaking deaths,2645
breaking crimesagainsthumanity,2645
crimesagainsthumanity happening,2642
family died,2407
also lied,2392
lied family,2391
disease crimesagainstwomen,2388
crimesagainstwomen womenspeacenw,2386
unwomenwatch whatshappeninginmyanmar,2386
hear voices,1881
fully vaccinated,1745
cvs near,1512
new cases,1506
name fighting,1408
mytwitteranniversary newprofilepic,1392
re busy,1390
busy funding,1384
instead condemning,1383
condemning going,1377
kidnaps abductions,1377
abductions killings,1377
music onlyfans,1216
venmome whatshappeninginmyanmar,1120
treating center,1100
clippernation dodgers,1048
onlyfans pride,1018
center military,938
dodgers heatwave,872
fascist military,828
residents eastern,823
northern salingyi,823
villages gathered,823
military protest,823
eastern yinmabin,822
yinmabin northern,822
pmcpvaccines covishield,821
gathered jun29,819
rodneysmithhero sfgiants,784
sfgiants soundcloud,776
whatshappeninginmyanmar gay,776
photography pride,728
24 hours,722
