gram,counts
covid 19,111615
tested positive,5315
new cases,2337
public health,1278
united states,1125
hope recovers,1085
speedy recovery,1008
24 hours,985
stay home,892
fast recovery,849
testing positive,825
wearing mask,816
white house,773
death toll,716
at home,705
active cases,677
health care,653
emergency use,647
new deaths,637
health officials,611
south africa,601
confirmed cases,558
nursing home,553
personal lawyer,518
around world,499
thoughts prayers,498
recovers soon,490
operation warp,475
please retweet,468
fake news,452
copy officials,445
healthcare workers,444
mental health,442
every day,439
nintendoswitch xbox,431
even though,430
recovery rate,427
deaths reported,426
