gram,counts
true href rel,4672
rel nofollow twitter,4055
nofollow twitter web,2307
twitter web app,1959
world health organization,1726
stay at home,1580
nofollow twitter android,1495
funding world health,1223
new york times,1093
cut funding world,1052
pandemic massive public,1040
originated wuhan lab,1000
china efforts compete,738
part china efforts,738
efforts compete us,712
health care workers,709
health organization middle,666
officials last delivered,657
deliver copy officials,657
copy officials last,657
