gram,counts
covid 19,107881
aug17coup whatshappeninginmyanmar,10361
new zealand,3985
2021 vaccine,3920
min age,3918
vaccine vaccinepune,3918
vaccinepune cowin,3918
texas gov,3581
covishield min,3346
fully vaccinated,2541
whatshappeninginmyanmar aug17coup,2474
tested positive,2312
shopeeid happy,2046
new cases,1979
acceptnug_rejectmilitary aug17coup,1648
re scheduled,1592
scheduled later,1590
booster shots,1535
truly courageous,1498
protest dictatorship,1498
dictatorship amid,1497
crisis acceptnug_rejectmilitary,1483
nld party,1265
military council,1233
party able,1231
politics military,1231
military affiliated,1231
usdp others,1231
others sign,1230
nug whatshappeninginmyanmar,1164
texas governor,1149
food items,1138
basic food,1138
items needy,1135
public health,1105
donated basic,1096
locked due,1095
tsp locked,1094
date reasoning,832
health care,798
vaccine boosters,789
expected recommend,760
injustice charges,759
charges leader,758
ridiculous reason,758
mortuary trailers,721
24 hours,706
