gram,counts
covid 19,74117
sep6coup whatshappeninginmyanmar,2970
asean_supporterofsac sep6coup,2892
new cases,1174
fully vaccinated,869
leader child,698
public health,668
texas leader,661
texas leaders,651
leaders failed,649
failed stop,639
districts closed,614
closed temporarily,608
temporarily result,598
disease texas,596
sept impeached,595
last year,579
leaders trump,558
give insight,557
scientists usafacts,541
24 hours,528
vaccine cowinblore1844,497
whatshappeninginmyanmar sep6coup,486
child deaths,482
cowinblore1844 bbmp,469
tested positive,463
sep6coup asean_supporterofsac,453
united states,426
military trucks,425
charity youths,425
youths suffering,425
impeached greg,421
abducted reason,418
every houses,401
houses charity,401
got abducted,401
reason asean_supporterofsac,399
thugs military,397
health officials,396
today totally,394
radio hits,394
nld government,394
stop hits,393
totally commercial,393
commercial free,393
free rideshare,393
hits uber,393
uber nowplaying,393
stayathome sydneylockdown,393
sydneylockdown summeroflove,393
pressuring businesses,393
issued nld,393
government whatshappeninginmyanmar,391
stream non,385
hits 70s,385
long term,377
