gram,counts
covid 19,177752
tested positive,4038
new cases,3415
white house,2749
public health,2015
motorcycle rally,1931
thearieair tjhinfar21,1920
1trenggalek thearieair,1899
sturgis motorcycle,1893
severely ill,1537
united states,1509
herd immunity,1504
death toll,1473
family tested,1363
steroids reduce,1323
research finds,1185
death linked,1181
widely available,1180
rally reported,1159
active cases,1131
health officials,1126
patients research,1090
reduce mortality,1081
mortality severely,1028
first time,1009
back school,963
24 hours,942
confirmed cases,924
contact tracing,896
health care,888
washington post,857
nursing homes,854
mental health,838
around world,812
conspiracy theory,786
boris johnson,779
