gram,counts
covid 19,84018
new cases,1561
fully vaccinated,1530
sep3coup whatshappeninginmyanmar,1352
takeaction_nomorewords sep3coup,1314
public health,1046
herd immunity,863
health officials,776
tested positive,767
give insight,701
scientists usafacts,685
24 hours,657
active cases,516
health care,497
vaccine cowinblore1844,496
last year,476
cowinblore1844 bbmp,473
booster shot,465
vaccine doses,457
times higher,429
united states,423
white house,419
today totally,394
radio hits,394
stop hits,393
totally commercial,393
commercial free,393
free rideshare,393
hits uber,393
uber nowplaying,393
nowplaying stayathome,393
stayathome sydneylockdown,393
sydneylockdown summeroflove,393
stream non,383
hits 70s,383
70s today,383
aged 12,376
lt vaccine,368
vaccine alert,368
cowin vaccine,367
